compare_label,seed,algo,case,topology_mode,outage_k,outage_policy,outage_radius,return_mean,return_std,v_viol_lin_mean,p_loss_mean,n_components_mean
fedgrid_topo_proto,0,fedgrid_none,141,static,6,,,-3.1403449321385226,0.04805617123433935,0.0,0.08177981594110736,1.0
fedgrid_topo_proto,0,fedgrid_topo_proto,141,static,6,,,-2.9503256422599438,0.04199822023972111,0.0,0.0768313969338527,1.0
fedgrid_topo_proto,0,fedgrid_none,141,random_reset,6,,,-3.162399253795728,0.06924577729539062,0.0,0.08235414723426375,1.0
fedgrid_topo_proto,0,fedgrid_topo_proto,141,random_reset,6,,,-2.970397096535962,0.056610746990879424,0.0,0.07735409105562402,1.0
fedgrid_v4_cluster_distill,0,fedgrid_none,141,static,6,,,-3.1403449321385226,0.04805617123433935,0.0,0.08177981594110736,1.0
fedgrid_v4_cluster_distill,0,fedgrid_v4_cluster_distill,141,static,6,,,-3.1832479111645995,0.0415531993029113,0.0,0.08289708101991143,1.0
fedgrid_v4_cluster_distill,0,fedgrid_none,141,random_reset,6,,,-3.162399253795728,0.06924577729539062,0.0,0.08235414723426375,1.0
fedgrid_v4_cluster_distill,0,fedgrid_v4_cluster_distill,141,random_reset,6,,,-3.2021032828113136,0.05769671669499613,0.0,0.08338810632321134,1.0
fedgrid_v4_cluster_gentle,0,fedgrid_none,141,static,6,,,-3.1403449321385226,0.04805617123433935,0.0,0.08177981594110736,1.0
fedgrid_v4_cluster_gentle,0,fedgrid_v4_cluster_gentle,141,static,6,,,-3.4004499498725402,0.05208219354532624,0.0,0.08855338411126407,1.0
fedgrid_v4_cluster_gentle,0,fedgrid_none,141,random_reset,6,,,-3.162399253795728,0.06924577729539062,0.0,0.08235414723426375,1.0
fedgrid_v4_cluster_gentle,0,fedgrid_v4_cluster_gentle,141,random_reset,6,,,-3.4239919391936438,0.07339919216825078,0.0,0.08916645674983448,1.0
fedgrid_v4_cluster_nodistill,0,fedgrid_none,141,static,6,,,-3.1403449321385226,0.04805617123433935,0.0,0.08177981594110736,1.0
fedgrid_v4_cluster_nodistill,0,fedgrid_v4_cluster_nodistill,141,static,6,,,-3.1684368574542434,0.04671572825602703,0.0,0.08251137649620424,1.0
fedgrid_v4_cluster_nodistill,0,fedgrid_none,141,random_reset,6,,,-3.162399253795728,0.06924577729539062,0.0,0.08235414723426375,1.0
fedgrid_v4_cluster_nodistill,0,fedgrid_v4_cluster_nodistill,141,random_reset,6,,,-3.1894268064729725,0.06562159975824085,0.0,0.08305798975190032,1.0
