algo,case,topology_mode,outage_k,outage_policy,outage_radius,n_seeds,return_mean,return_std,v_viol_lin_mean_mean,v_viol_lin_mean_std,p_loss_mean_mean,p_loss_mean_std,n_components_mean_mean,n_components_mean_std
fedgrid_none,141,random_reset,6,,,1,nan,nan,0.0,0.0,0.08470494608832298,0.0,1.0,0.0
fedgrid_none,141,static,6,,,1,nan,nan,0.0,0.0,0.08419399655344903,0.0,1.0,0.0
fedgrid_topo_proto,141,random_reset,6,,,1,nan,nan,0.0,0.0,0.08612270416842119,0.0,1.0,0.0
fedgrid_topo_proto,141,static,6,,,1,nan,nan,0.0,0.0,0.08560226398873794,0.0,1.0,0.0
fedgrid_v4_cluster_distill,141,random_reset,6,,,1,nan,nan,0.0,0.0,0.08729526607473179,0.0,1.0,0.0
fedgrid_v4_cluster_distill,141,static,6,,,1,nan,nan,0.0,0.0,0.0867237277829132,0.0,1.0,0.0
fedgrid_v4_cluster_gentle,141,random_reset,6,,,1,nan,nan,0.0,0.0,0.0860781772105655,0.0,1.0,0.0
fedgrid_v4_cluster_gentle,141,static,6,,,1,nan,nan,0.0,0.0,0.08556222215001061,0.0,1.0,0.0
fedgrid_v4_cluster_nodistill,141,random_reset,6,,,1,nan,nan,0.0,0.0,0.08450523548405584,0.0,1.0,0.0
fedgrid_v4_cluster_nodistill,141,static,6,,,1,nan,nan,0.0,0.0,0.08398488944601236,0.0,1.0,0.0
